id,uuid,source,sourceId,name,normalizedName,brand,category,subcategory,foodType,barcode,nutritionBasis,servingUnit,servingQuantity,servingDescription,servingWeightG,servingVolumeMl,caloriesKcalPer100g,proteinGPer100g,carbohydratesGPer100g,fatGPer100g,fiberGPer100g,sugarsGPer100g,addedSugarsGPer100g,saturatedFatGPer100g,transFatGPer100g,cholesterolMgPer100g,sodiumMgPer100g,potassiumMgPer100g,calciumMgPer100g,ironMgPer100g,magnesiumMgPer100g,vitaminCMgPer100g,folateMcgPer100g,vitaminAMcgPer100g,vitaminDMcgPer100g,vitaminEMgPer100g,vitaminKMcgPer100g,carotenoidsMcgPer100g,mufaMgPer100g,pufaMgPer100g,qualityScore,needsReview,notes
766775376247043469,indian-food-aa4222463b8b58d8a0858b1742a77c02,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0383,Apple cake (Seb ka cake),apple cake (seb ka cake),,,,INDIAN_RECIPE,,PER_100_G,piece,1,1 piece,,,290.08,4.94,39.48,12.87,1.22,23.52,,7.46,,94.69,136.95,96.16,38.99,0.9,12.0,1.16,9.32,,,,,212.01,3421.7,714.62,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
1060153063811909755,indian-food-eb66b98380d087b76a73eb37c0dabab2,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0370,Apple cinnamon pie,apple cinnamon pie,,,,INDIAN_RECIPE,,PER_100_G,slice,1,1 slice,,,258.73,3.35,33.68,12.21,1.77,11.95,,7.49,,36.52,60.14,90.1,16.14,0.65,12.35,2.24,11.58,,,,,245.47,3045.41,616.19,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
234766076658889782,indian-food-3420e80bc90b436275b5296b5d1ea6b5,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0645,Apple crumb pudding,apple crumb pudding,,,,INDIAN_RECIPE,,PER_100_G,small plate,1,1 small plate,,,220.85,1.54,35.17,8.87,1.33,27.69,,5.35,,21.68,59.36,159.24,38.49,1.05,10.25,3.6,7.86,,,,,166.66,2144.81,379.57,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
547660398433716692,indian-food-799ae3b1230c9d4d74f1ce7414ab3192,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0975,Apple jam (Seb ka murabba),apple jam (seb ka murabba),,,,INDIAN_RECIPE,,PER_100_G,,,,,,188.79,0.14,48.56,0.32,1.29,46.76,,0.08,,0.0,2.71,60.0,10.84,0.21,4.84,,,,,,,114.5,25.57,141.0,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
88346231955321210,indian-food-139de6e0cf0f17a64ad4fc60036d7de6,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:1005,Apple jelly (Seb ki jelly),apple jelly (seb ki jelly),,,,INDIAN_RECIPE,,PER_100_G,,,,,,152.13,0.1,39.37,0.21,0.86,38.18,,0.05,,0.0,2.14,40.33,7.89,0.15,3.36,,,,,,,76.33,17.04,94.0,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
1059018108871269464,indian-food-eb2635bedfa5c5821b6daeea159585a5,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0618,Apple kheer (Seb ki kheer),apple kheer (seb ki kheer),,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,81.3,2.14,11.34,3.18,0.51,10.71,,1.68,,0.0,15.86,93.41,75.67,0.18,8.91,5.82,16.4,,,,,155.27,992.29,213.6,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
777652171212462882,indian-food-acac6878fee1b221dbf62b036f709ae7,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0290,Apple mousse,apple mousse,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,106.92,4.21,12.77,4.27,1.6,10.56,,2.17,,57.67,28.79,109.32,33.76,0.48,8.41,14.48,35.22,,,,,183.0,1202.89,422.74,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
739688688914377824,indian-food-a43e6f18b1dac60e8931039aab4055bd,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0791,Apple oats chia seed smoothie,apple oats chia seed smoothie,,,,INDIAN_RECIPE,,PER_100_G,glass,1,1 glass,,,85.64,3.49,13.07,2.48,1.44,5.76,,0.92,,4.32,32.02,169.25,88.89,0.5,23.55,5.39,71.4,,,,,44.87,688.17,691.89,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
793289139855408226,indian-food-b0254450941bc626fd0fa04a62171429,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0797,Apple sago payasam (Seb aur sabudana ki kheer),apple sago payasam (seb aur sabudana ki kheer),,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,136.5,3.13,14.4,7.66,0.38,10.63,,4.01,,10.85,39.45,129.65,102.11,0.31,16.81,5.88,21.45,,,,,188.51,2525.72,506.1,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
547200098471345206,indian-food-7980b9722717c36f2ea5d642f9e2d68f,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0307,Apple snowballs,apple snowballs,,,,INDIAN_RECIPE,,PER_100_G,piece,1,1 piece,,,101.51,0.86,24.58,0.31,1.25,19.4,,0.07,,0.0,12.8,70.07,9.43,0.18,4.93,4.46,4.64,,,,,110.44,24.63,135.84,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
60502522981607128,indian-food-0d6f2b95e5566d8420d0e6665dd48a4a,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0643,Apricot fool,apricot fool,,,,INDIAN_RECIPE,,PER_100_G,tall stemmed glass,1,1 tall stemmed glass,,,240.79,1.54,33.64,11.35,1.0,21.29,,6.72,,27.58,8.28,105.45,26.37,0.73,8.64,1.47,11.46,,,,,1198.22,3470.69,501.09,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
303200191572078795,indian-food-4352ef7c27bf0cb84ec1350731f64334,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0518,Arhar with spinach (Arhar dal aur palak),arhar with spinach (arhar dal aur palak),,,,INDIAN_RECIPE,,PER_100_G,curry bowl,1,1 curry bowl,,,52.84,2.05,4.77,2.76,1.3,0.23,,1.5,,6.1,109.97,205.61,21.81,0.89,23.79,18.79,105.9,,,,,1307.38,696.28,239.25,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
16974142642316739,indian-food-03c4de48e8fe5c3cdcc15e0f65acc884,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0709,Assorted pastry,assorted pastry,,,,INDIAN_RECIPE,,PER_100_G,pastry,1,1 pastry,,,230.74,6.78,31.99,8.91,0.43,19.7,,4.72,,131.02,49.99,100.58,47.2,0.94,11.05,0.25,15.61,,,,,136.69,2669.01,607.94,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
538494175539254067,indian-food-7791d997ea253333daccc32a764147ea,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0773,Atta dal burfi,atta dal burfi,,,,INDIAN_RECIPE,,PER_100_G,piece,1,1 piece,,,298.8,6.66,40.64,12.47,4.08,21.08,,6.25,,23.81,3.56,268.58,17.07,1.56,57.29,0.0,9.07,,,,,320.47,3703.59,1401.16,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
231810706777359346,indian-food-3378e9c1098c3f2e1c759529a079a352,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0202,Avial,avial,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,124.56,2.46,8.47,8.94,5.44,3.83,,6.23,,0.0,81.5,378.3,31.9,1.01,36.4,94.64,108.12,,,,,1270.84,550.74,219.96,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
1063578936551792849,indian-food-ec297685fc1e0d1c724d2e9fb3088f10,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0489,Bacon and mushroom pancake,bacon and mushroom pancake,,,,INDIAN_RECIPE,,PER_100_G,pancake,1,1 pancake,,,157.67,6.82,8.47,10.6,1.59,1.23,,5.52,,39.23,344.23,210.33,44.74,0.54,15.73,1.91,14.58,,,,,111.81,3332.13,871.87,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
683786518585211503,indian-food-97d4c373e78fa6f12decb2350a0f3e92,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0196,Baked brinjal in tomato sauce,baked brinjal in tomato sauce,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,38.63,1.58,4.13,1.62,2.34,2.2,,0.42,,0.0,79.66,187.99,26.24,0.32,15.57,68.38,103.99,,,,,3493.72,344.28,726.7,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
284748670738986121,indian-food-3f3a16849a9748969230ab3dd6a78dda,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0279,Baked custard,baked custard,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,106.53,5.41,9.45,5.3,0.0,9.42,,2.6,,85.92,47.13,114.36,95.32,0.54,8.82,3.02,35.21,,,,,172.54,1672.11,367.62,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
316025194538002756,indian-food-462bf3d7482e944d1709cf6223b5f2cc,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0058,Baked egg,baked egg,,,,INDIAN_RECIPE,,PER_100_G,egg,1,1 egg,,,218.85,11.88,15.42,12.65,1.03,1.66,,6.17,,204.36,523.29,143.69,164.05,1.48,17.94,0.0,35.72,,,,,122.02,3702.29,838.99,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
375559992427737011,indian-food-53641d2c480efb328bacd9b125a46ea8,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0852,Baked eggs in tomato sauce,baked eggs in tomato sauce,,,,INDIAN_RECIPE,,PER_100_G,plate,1,1 plate,,,80.05,4.92,3.78,5.22,0.01,2.03,,1.44,,77.26,188.21,321.52,71.94,1.31,20.55,245.7,317.88,,,,,1750.43,2049.81,1073.64,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
847191903238364151,indian-food-bc1d48c211c1bf7753dd8b3f8db222cb,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0232,Baked fish with cheese sauce,baked fish with cheese sauce,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,113.96,8.64,4.06,7.02,0.08,3.22,,4.19,,21.37,209.48,158.51,115.64,0.26,16.84,9.97,29.36,,,,,136.3,1786.8,454.57,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
1032577527156530895,indian-food-e5473ca45375ecf63c0af21573c2abe2,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0910,Baked potato soup,baked potato soup,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,147.05,5.73,5.85,11.21,0.3,3.44,,6.19,,26.31,268.69,184.87,106.56,0.27,12.65,18.93,42.67,,,,,167.06,3297.93,657.61,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
800055054740061772,indian-food-b1a5dd55a897e4ce0d37cfc28f0756c1,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0194,Baked potato with skin,baked potato with skin,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,135.77,3.43,11.11,8.5,1.2,1.66,,5.24,,21.72,354.5,392.71,90.06,0.5,21.18,11.88,9.99,,,,,225.93,2214.89,380.72,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
758973234287805498,indian-food-a886a22a7c1043a86b81a6b3ac9de72a,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0552,Baked stuffed fish,baked stuffed fish,,,,INDIAN_RECIPE,,PER_100_G,fish,1,1 fish,,,121.96,16.14,2.12,5.43,0.38,0.35,,2.89,,36.95,74.36,242.97,18.8,0.35,29.35,13.01,67.06,,,,,422.28,1141.42,813.98,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
816786271616999829,indian-food-b55cec95925a195e525665202f7d8a7e,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0191,Baked vegetables,baked vegetables,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,88.99,3.67,8.44,4.44,2.34,2.56,,2.69,,8.27,124.7,221.88,80.2,0.62,19.93,47.05,77.19,,,,,1693.73,1146.21,231.8,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
147333748982181814,indian-food-20b6f439b826fb6df4fa0d3c0c935cb1,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0193,Baked vegetables with spinach,baked vegetables with spinach,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,77.79,3.22,6.93,4.03,2.33,2.09,,2.16,,6.55,122.85,314.32,78.63,1.16,35.62,78.95,223.29,,,,,3474.59,986.69,546.36,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
54557400719731375,indian-food-0c1d3aab9c4aaafd1a090192786881b0,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0890,Banana appam,banana appam,,,,INDIAN_RECIPE,,PER_100_G,appam,1,1 appam,,,469.81,1.17,20.06,42.53,0.67,9.95,,5.73,,0.0,20.14,142.99,13.74,0.77,19.47,4.03,13.79,,,,,49.71,8540.8,26201.35,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
974525304396272051,indian-food-d863599e12b51b3f819f5683b2fec023,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0388,Banana cake (Kele ka cake),banana cake (kele ka cake),,,,INDIAN_RECIPE,,PER_100_G,slice,1,1 slice,,,389.51,5.77,40.0,23.31,1.14,23.04,,3.3,,68.99,117.81,157.61,23.55,1.14,31.46,0.98,11.33,,,,,125.09,6110.79,12661.32,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
129447070661036241,indian-food-1cbe36cc7f748d15826143a3979a60fa,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0898,Banana chips (Kele ke chips),banana chips (kele ke chips),,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,665.67,0.37,7.32,70.46,0.65,4.37,,8.48,,0.0,86.87,106.43,2.01,0.19,9.04,4.03,8.97,,,,,76.3,14442.96,44622.74,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
491717082136092842,indian-food-6d2ee14bab6a0aac21bd8153d2e45d1b,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0755,Banana groundnut paste/puree,banana groundnut paste/puree,,,,INDIAN_RECIPE,,PER_100_G,,,,,,213.19,4.27,36.15,5.45,1.7,31.67,,1.68,,0.0,16.85,357.4,74.93,1.9,65.75,3.02,20.9,,,,,151.83,2208.71,1249.33,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
804815634073682042,indian-food-b2b478e1aa4807a3e951b87a5fed09b0,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0015,Banana milkshake (Kele milkshake),banana milkshake (kele milkshake),,,,INDIAN_RECIPE,,PER_100_G,tall glass,1,1 tall glass,,,65.31,1.84,9.15,2.37,0.26,7.96,,1.42,,0.0,13.61,102.43,62.64,0.13,7.92,6.84,19.83,,,,,134.3,634.17,87.19,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
182599146513590098,indian-food-288b8f4d03b675213336f24dbec7affe,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0438,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),banana milkshake with ice cream (kele ka milkshake ice cream ke saath),,,,INDIAN_RECIPE,,PER_100_G,tall glass,1,1 tall glass,,,76.45,2.01,11.15,2.77,0.27,9.94,,1.68,,1.3,16.63,110.88,68.3,0.14,8.6,6.99,20.73,,,,,138.46,738.37,102.71,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
68861158030830869,indian-food-0f4a4dbbf3fed159be0a1115cee738a8,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0612,Banana raita (Kele ka raita),banana raita (kele ka raita),,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,89.03,4.13,13.51,2.07,1.0,10.11,,1.25,,6.93,135.43,308.83,133.23,0.31,24.32,5.73,27.58,,,,,116.02,534.24,130.3,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
802338880870125111,indian-food-b227af60fbf8e37a209d190cf4621abc,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0996,Barbeque sauce,barbeque sauce,,,,INDIAN_RECIPE,,PER_100_G,,,,,,121.93,0.96,20.46,4.51,0.69,18.88,,0.54,,0.0,504.95,186.46,28.61,1.15,16.7,,,,,,,144.0,971.86,2771.18,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
494298247876454549,indian-food-6dc19a335c62895542b762d4a9a07eac,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0565,Bathua bhujia,bathua bhujia,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,90.9,2.26,3.63,7.29,3.8,1.08,,0.91,,0.0,81.99,387.93,165.84,2.36,43.74,66.6,71.68,,,,,2695.52,4068.55,1670.72,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
12501214249830605,indian-food-02c69c9c29f48cd6b7d4bb88d0716261,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0483,Bathua poori,bathua poori,,,,INDIAN_RECIPE,,PER_100_G,poori,1,1 poori,,,598.79,2.35,13.85,59.14,1.87,0.41,,7.23,,0.6,49.71,98.54,30.83,0.96,21.24,4.56,8.77,,,,,482.82,12112.75,37288.29,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
365108047892567878,indian-food-5111fd5cb45d74698cbea4e549baa3c2,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0610,Bathua raita,bathua raita,,,,INDIAN_RECIPE,,PER_100_G,bowl,1,1 bowl,,,54.4,4.13,5.31,1.76,2.19,4.11,,1.0,,5.41,110.92,366.14,206.31,1.46,35.47,43.65,61.2,,,,,1736.1,421.7,177.06,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
431257414028288206,indian-food-5fc225549e8e0ceb2d8951474e8aafe7,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0508,Beans and macaroni,beans and macaroni,,,,INDIAN_RECIPE,,PER_100_G,plate,1,1 plate,,,136.08,4.58,14.24,7.01,2.05,1.68,,4.25,,19.67,182.79,221.16,86.86,0.75,27.05,16.54,82.63,,,,,1988.59,1774.3,416.38,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
436686226106013072,indian-food-60f6bcf195ad590500174d86057128c3,Anuvaad INDB + Indian_Food_Nutrition_Processed,INDB:0573,Beans foogath,beans foogath,,,,INDIAN_RECIPE,,PER_100_G,small bowl,1,1 small bowl,,,105.06,2.03,3.26,9.22,4.15,1.7,,3.05,,0.0,81.22,259.29,44.2,0.95,30.98,6.36,86.05,,,,,1251.99,1404.54,3683.6,HIGH,0,"Nutrition values are per 100 g based on Anuvaad INDB documentation. The supplied CSVs do not contain serving weights/volumes, so none were invented."
